frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769541590.913062500","54","192.168.0.43","69.48.218.2",,,"62882","443"
"1769541590.913987000","89","192.168.0.43","69.48.218.2",,,"62882","443"
"1769541591.066910200","558","192.168.0.43","255.255.255.255","65156","31337",,
"1769541591.066982500","558","192.168.0.43","255.255.255.255","65156","31338",,
"1769541591.067008900","558","192.168.0.43","255.255.255.255","65156","31339",,
"1769541591.079280600","89","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541591.079311500","66","192.168.0.43","69.48.218.2",,,"62882","443"
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.102898100","207","192.168.0.43","255.255.255.255","53500","31337",,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103036900","207","192.168.0.43","255.255.255.255","53500","31338",,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.103116000","207","192.168.0.43","255.255.255.255","53500","31339",,
"1769541591.107304700","64","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541591.191304500","66","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.191304500","116","168.119.77.25","192.168.0.43",,,"443","62517"
"1769541591.191448500","54","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.193959700","514","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.205032400","116","168.119.77.25","192.168.0.43",,,"443","53070"
"1769541591.232375700","54","192.168.0.43","168.119.77.25",,,"62517","443"
"1769541591.248565100","54","192.168.0.43","168.119.77.25",,,"53070","443"
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268521300","329","192.168.0.43","255.255.255.255","65156","31337",,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268676000","329","192.168.0.43","255.255.255.255","65156","31338",,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.268777600","329","192.168.0.43","255.255.255.255","65156","31339",,
"1769541591.309775400","615","192.168.0.43","255.255.255.255","53500","31337",,
"1769541591.309854600","615","192.168.0.43","255.255.255.255","53500","31338",,
"1769541591.309879400","615","192.168.0.43","255.255.255.255","53500","31339",,
"1769541591.349588000","60","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.360487500","4290","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.360487500","78","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.360608900","54","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.369512400","134","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.369767700","134","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.369817300","146","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.369926300","141","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.476925300","305","192.168.0.43","255.255.255.255","65156","31337",,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477080200","305","192.168.0.43","255.255.255.255","65156","31338",,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","1514","192.168.0.43","255.255.255.255",,,,
"1769541591.477238500","305","192.168.0.43","255.255.255.255","65156","31339",,
"1769541591.516004900","1425","192.168.0.43","255.255.255.255","53500","31337",,
"1769541591.516111400","1425","192.168.0.43","255.255.255.255","53500","31338",,
"1769541591.516155300","1425","192.168.0.43","255.255.255.255","53500","31339",,
"1769541591.681290200","617","192.168.0.43","255.255.255.255","65156","31337",,
"1769541591.681459100","617","192.168.0.43","255.255.255.255","65156","31338",,
"1769541591.681624000","617","192.168.0.43","255.255.255.255","65156","31339",,
"1769541591.731445300","1005","192.168.0.43","255.255.255.255","53500","31337",,
"1769541591.731538000","1005","192.168.0.43","255.255.255.255","53500","31338",,
"1769541591.731579500","1005","192.168.0.43","255.255.255.255","53500","31339",,
"1769541591.784506900","702","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.784506900","85","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.784719800","54","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.785687100","85","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.785713100","334","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.785713100","255","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.785713100","85","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.785713100","93","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541591.785779400","54","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.785979300","93","192.168.0.43","8.8.8.8",,,"57917","443"
"1769541591.786713900","66","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541591.883743600","815","192.168.0.43","255.255.255.255","65156","31337",,
"1769541591.883832200","815","192.168.0.43","255.255.255.255","65156","31338",,
"1769541591.883859300","815","192.168.0.43","255.255.255.255","65156","31339",,
"1769541591.943216500","794","192.168.0.43","255.255.255.255","53500","31337",,
"1769541591.943316000","794","192.168.0.43","255.255.255.255","53500","31338",,
"1769541591.943399300","794","192.168.0.43","255.255.255.255","53500","31339",,
"1769541591.985797500","60","8.8.8.8","192.168.0.43",,,"443","57917"
"1769541592.024005900","66","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.024101000","54","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.024444300","571","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.036186200","318","192.168.0.43","255.255.255.255","58811","50003",,
"1769541592.093991600","1018","192.168.0.43","255.255.255.255","65156","31337",,
"1769541592.094055000","1018","192.168.0.43","255.255.255.255","65156","31338",,
"1769541592.094090200","1018","192.168.0.43","255.255.255.255","65156","31339",,
"1769541592.149435500","618","192.168.0.43","255.255.255.255","53500","31337",,
"1769541592.149615800","618","192.168.0.43","255.255.255.255","53500","31338",,
"1769541592.149700200","618","192.168.0.43","255.255.255.255","53500","31339",,
"1769541592.191530800","116","168.119.77.25","192.168.0.43",,,"443","62517"
"1769541592.191530800","116","168.119.77.25","192.168.0.43",,,"443","53070"
"1769541592.232321100","54","192.168.0.43","168.119.77.25",,,"62517","443"
"1769541592.232321100","54","192.168.0.43","168.119.77.25",,,"53070","443"
"1769541592.234705200","1490","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.234705200","1490","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.234705200","1278","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.235026400","54","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.251333600","1490","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.251333600","200","140.82.112.21","192.168.0.43",,,"443","57918"
"1769541592.251399200","54","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.252440400","8590","192.168.0.43","140.82.112.21",,,"57918","443"
"1769541592.298218900","1018","192.168.0.43","255.255.255.255","65156","31337",,
