frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769498289.867625000","1514","192.168.0.113","255.255.255.255",,,,
"1769498289.867625000","1514","192.168.0.113","255.255.255.255",,,,
"1769498289.867625000","1514","192.168.0.113","255.255.255.255",,,,
"1769498289.867625000","1514","192.168.0.113","255.255.255.255",,,,
"1769498289.867625000","1514","192.168.0.113","255.255.255.255",,,,
"1769498289.867625000","242","192.168.0.113","255.255.255.255","53500","31339",,
"1769498290.075886800","60","168.119.77.90","192.168.0.113",,,"443","63305"
"1769498290.083292700","583","192.168.0.113","255.255.255.255","53500","31337",,
"1769498290.083301100","622","192.168.0.113","255.255.255.255","65156","31337",,
"1769498290.083384000","583","192.168.0.113","255.255.255.255","53500","31338",,
"1769498290.083432300","622","192.168.0.113","255.255.255.255","65156","31338",,
"1769498290.083452400","583","192.168.0.113","255.255.255.255","53500","31339",,
"1769498290.083508400","622","192.168.0.113","255.255.255.255","65156","31339",,
"1769498290.296657900","625","192.168.0.113","255.255.255.255","65156","31337",,
"1769498290.296741700","1433","192.168.0.113","255.255.255.255","53500","31337",,
"1769498290.296830800","1433","192.168.0.113","255.255.255.255","53500","31338",,
"1769498290.296858900","625","192.168.0.113","255.255.255.255","65156","31338",,
"1769498290.296937300","1433","192.168.0.113","255.255.255.255","53500","31339",,
"1769498290.296954300","625","192.168.0.113","255.255.255.255","65156","31339",,
"1769498290.315889600","116","168.119.77.90","192.168.0.113",,,"443","49311"
"1769498290.366917800","54","192.168.0.113","168.119.77.90",,,"49311","443"
"1769498290.387964600","116","168.119.77.90","192.168.0.113",,,"443","63305"
"1769498290.434170400","54","192.168.0.113","168.119.77.90",,,"63305","443"
"1769498290.505292000","586","192.168.0.113","255.255.255.255","53500","31337",,
"1769498290.505291600","1020","192.168.0.113","255.255.255.255","65156","31337",,
"1769498290.505377500","1020","192.168.0.113","255.255.255.255","65156","31338",,
"1769498290.505431600","586","192.168.0.113","255.255.255.255","53500","31338",,
"1769498290.505446500","1020","192.168.0.113","255.255.255.255","65156","31339",,
"1769498290.505501700","586","192.168.0.113","255.255.255.255","53500","31339",,
"1769498290.724653000","1000","192.168.0.113","255.255.255.255","53500","31337",,
"1769498290.724677600","1012","192.168.0.113","255.255.255.255","65156","31337",,
"1769498290.724743000","1012","192.168.0.113","255.255.255.255","65156","31338",,
"1769498290.724777000","1000","192.168.0.113","255.255.255.255","53500","31338",,
"1769498290.724826900","1012","192.168.0.113","255.255.255.255","65156","31339",,
"1769498290.724828900","1000","192.168.0.113","255.255.255.255","53500","31339",,
"1769498290.724935200","1261","192.168.0.113","255.255.255.255","63931","31340",,
"1769498290.725173900","1261","192.168.0.113","255.255.255.255","63931","31341",,
"1769498290.725263500","1261","192.168.0.113","255.255.255.255","63931","31342",,
"1769498290.815304300","143","192.168.0.113","172.217.162.131","62996","443",,
"1769498290.911083900","97","69.48.218.2","192.168.0.113",,,"443","63288"
"1769498290.916109900","89","192.168.0.113","69.48.218.2",,,"63288","443"
"1769498290.917009800","1138","192.168.0.113","255.255.255.255","63931","31340",,
"1769498290.917187900","1138","192.168.0.113","255.255.255.255","63931","31341",,
"1769498290.917252300","1138","192.168.0.113","255.255.255.255","63931","31342",,
"1769498290.928767700","64","69.48.218.2","192.168.0.113",,,"443","63288"
"1769498290.932263900","585","192.168.0.113","255.255.255.255","53500","31337",,
"1769498290.932394400","585","192.168.0.113","255.255.255.255","53500","31338",,
"1769498290.932494700","585","192.168.0.113","255.255.255.255","53500","31339",,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933171800","325","192.168.0.113","255.255.255.255","65156","31337",,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933477700","325","192.168.0.113","255.255.255.255","65156","31338",,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","1514","192.168.0.113","255.255.255.255",,,,
"1769498290.933711800","325","192.168.0.113","255.255.255.255","65156","31339",,
"1769498290.948304400","72","172.217.162.131","192.168.0.113","443","62996",,
"1769498290.979687000","75","192.168.0.113","172.217.162.131","62996","443",,
"1769498290.982328300","97","69.48.218.2","192.168.0.113",,,"443","63288"
"1769498291.033100300","185","172.217.162.131","192.168.0.113","443","62996",,
"1769498291.033100300","66","172.217.162.131","192.168.0.113","443","62996",,
"1769498291.036009200","54","192.168.0.113","69.48.218.2",,,"63288","443"
"1769498291.076192400","79","192.168.0.113","172.217.162.131","62996","443",,
"1769498291.076637000","123","192.168.0.113","57.144.162.192",,,"55617","443"
"1769498291.140285400","619","192.168.0.113","255.255.255.255","53500","31337",,
"1769498291.140285400","541","192.168.0.113","255.255.255.255","65156","31337",,
"1769498291.140502900","541","192.168.0.113","255.255.255.255","65156","31338",,
"1769498291.140517200","619","192.168.0.113","255.255.255.255","53500","31338",,
"1769498291.140575100","619","192.168.0.113","255.255.255.255","53500","31339",,
"1769498291.140654200","541","192.168.0.113","255.255.255.255","65156","31339",,
"1769498291.198075700","65","172.217.162.131","192.168.0.113","443","62996",,
"1769498291.198431400","76","192.168.0.113","172.217.162.131","62996","443",,
"1769498291.281456000","60","57.144.162.192","192.168.0.113",,,"443","55617"
