frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1772865967.609945000","54","20.189.173.4","192.168.68.57",,,"443","7971"
"1772865967.611048000","148","20.189.173.4","192.168.68.57",,,"443","7971"
"1772865967.612973000","89","192.168.68.57","20.189.173.4",,,"7971","443"
"1772865967.626904000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.626905000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.626905000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.626905000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.626906000","123","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.627411000","93","192.168.68.57","77.88.44.55",,,"1562","443"
"1772865967.628330000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.628331000","89","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.633256000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.634860000","89","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.634953000","54","192.168.68.57","77.88.44.55",,,"1562","443"
"1772865967.638949000","54","192.168.68.57","192.168.68.54",,,"40775","8009"
"1772865967.660485000","317","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.660486000","311","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.660596000","54","192.168.68.57","77.88.44.55",,,"1562","443"
"1772865967.663708000","89","192.168.68.57","77.88.44.55",,,"1562","443"
"1772865967.670014000","322","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.703913000","164","192.168.68.57","192.168.1.185",,,"52118","8009"
"1772865967.704233000","164","192.168.68.57","192.168.1.15",,,"45754","8009"
"1772865967.720236000","54","192.168.68.57","77.88.44.55",,,"1562","443"
"1772865967.725476000","511","192.168.68.1","239.255.255.250","47863","1900",,
"1772865967.734057000","60",,,,,,
"1772865967.738203000","164","192.168.1.15","192.168.68.57",,,"8009","45754"
"1772865967.738203000","164","192.168.1.185","192.168.68.57",,,"8009","52118"
"1772865967.782886000","54","20.189.173.4","192.168.68.57",,,"443","7971"
"1772865967.785634000","54","192.168.68.57","192.168.1.185",,,"52118","8009"
"1772865967.785636000","54","192.168.68.57","192.168.1.15",,,"45754","8009"
"1772865967.787475000","124","192.168.68.57","57.144.133.32",,,"27777","5222"
"1772865967.852184000","54","57.144.133.32","192.168.68.57",,,"5222","27777"
"1772865967.869945000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.935929000","54","77.88.44.55","192.168.68.57",,,"443","1562"
"1772865967.944173000","126","57.144.133.32","192.168.68.57",,,"5222","27777"
"1772865967.988866000","60",,,,,,
"1772865967.990485000","54","192.168.68.57","57.144.133.32",,,"27777","5222"
"1772865968.047558000","221","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865968.048576000","225","192.168.68.57","104.18.35.46",,,"59460","443"
"1772865968.108148000","54","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865968.151902000","224","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865968.152934000","228","192.168.68.57","104.18.35.46",,,"10822","443"
"1772865968.213206000","54","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865968.233903000","60",,,,,,
"1772865968.458399000","60",,,,,,
"1772865968.484245000","60",,,,,,
"1772865968.734255000","60",,,,,,
"1772865968.910278000","222","104.18.35.46","192.168.68.57",,,"443","47545"
"1772865968.911322000","226","192.168.68.57","104.18.35.46",,,"47545","443"
"1772865968.976187000","54","104.18.35.46","192.168.68.57",,,"443","47545"
"1772865968.989269000","60",,,,,,
"1772865969.234211000","60",,,,,,
"1772865969.399947000","55","192.168.68.57","108.177.11.188",,,"15015","5228"
"1772865969.457688000","60",,,,,,
"1772865969.467176000","66","108.177.11.188","192.168.68.57",,,"5228","15015"
"1772865969.482335000","60",,,,,,
"1772865969.602191000","78","1.1.1.2","192.168.68.57",,,"853","59882"
"1772865969.602526000","78","192.168.68.57","1.1.1.2",,,"59882","853"
"1772865969.602700000","54","192.168.68.57","1.1.1.2",,,"59882","853"
"1772865969.626102000","78","1.1.1.2","192.168.68.57",,,"853","60207"
"1772865969.626453000","78","192.168.68.57","1.1.1.2",,,"60207","853"
"1772865969.626666000","54","192.168.68.57","1.1.1.2",,,"60207","853"
"1772865969.664106000","54","1.1.1.2","192.168.68.57",,,"853","59882"
"1772865969.664106000","54","1.1.1.2","192.168.68.57",,,"853","59882"
"1772865969.704912000","54","1.1.1.2","192.168.68.57",,,"853","60207"
"1772865969.704913000","54","1.1.1.2","192.168.68.57",,,"853","60207"
"1772865969.734208000","60",,,,,,
"1772865969.900157000","164","192.168.68.57","192.168.68.53",,,"37126","8009"
"1772865969.940712000","54","1.1.1.2","192.168.68.57",,,"853","59882"
"1772865969.940784000","54","192.168.68.57","1.1.1.2",,,"59882","853"
"1772865969.954710000","164","192.168.68.53","192.168.68.57",,,"8009","37126"
"1772865969.982218000","60",,,,,,
"1772865969.984027000","54","1.1.1.2","192.168.68.57",,,"853","60207"
"1772865969.984088000","54","192.168.68.57","1.1.1.2",,,"60207","853"
"1772865969.998366000","54","192.168.68.57","192.168.68.53",,,"37126","8009"
"1772865970.212020000","124","192.168.68.57","57.144.132.192",,,"49073","443"
"1772865970.234333000","60",,,,,,
"1772865970.280908000","54","57.144.132.192","192.168.68.57",,,"443","49073"
"1772865970.374029000","126","57.144.132.192","192.168.68.57",,,"443","49073"
"1772865970.424452000","54","192.168.68.57","57.144.132.192",,,"49073","443"
"1772865970.460870000","60",,,,,,
"1772865970.481760000","55","192.168.68.57","18.97.36.60",,,"54233","443"
"1772865970.483226000","60",,,,,,
"1772865970.548283000","221","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865970.552965000","78","34.117.33.233","192.168.68.57",,,"443","58294"
"1772865970.553297000","82","192.168.68.57","34.117.33.233",,,"58294","443"
"1772865970.555904000","66","18.97.36.60","192.168.68.57",,,"443","54233"
"1772865970.590880000","54","192.168.68.57","104.18.35.46",,,"59460","443"
"1772865970.626022000","54","34.117.33.233","192.168.68.57",,,"443","58294"
"1772865970.632085000","82","57.144.132.192","192.168.68.57",,,"443","50874"
"1772865970.652676000","224","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865970.683946000","54","192.168.68.57","57.144.132.192",,,"50874","443"
"1772865970.699682000","54","192.168.68.57","104.18.35.46",,,"10822","443"
"1772865970.734121000","60",,,,,,
"1772865970.984158000","60",,,,,,
"1772865971.072257000","225","192.168.68.57","104.18.35.46",,,"59460","443"
"1772865971.072574000","228","192.168.68.57","104.18.35.46",,,"10822","443"
"1772865971.138066000","54","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865971.138067000","54","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865971.233136000","60",,,,,,
"1772865971.398543000","294","192.168.68.57","18.97.36.60",,,"54233","443"
"1772865971.399146000","124","192.168.68.57","57.144.133.32",,,"54614","443"
"1772865971.413277000","222","104.18.35.46","192.168.68.57",,,"443","47545"
"1772865971.414224000","226","192.168.68.57","104.18.35.46",,,"47545","443"
"1772865971.461745000","60",,,,,,
"1772865971.476227000","54","18.97.36.60","192.168.68.57",,,"443","54233"
"1772865971.476228000","172","18.97.36.60","192.168.68.57",,,"443","54233"
"1772865971.476228000","54","104.18.35.46","192.168.68.57",,,"443","47545"
"1772865971.480305000","126","57.144.133.32","192.168.68.57",,,"443","54614"
"1772865971.485316000","60",,,,,,
"1772865971.520660000","54","192.168.68.57","18.97.36.60",,,"54233","443"
"1772865971.520667000","54","192.168.68.57","57.144.133.32",,,"54614","443"
"1772865971.724984000","493","192.168.68.1","239.255.255.250","47863","1900",,
"1772865971.734265000","60",,,,,,
"1772865971.801211000","78","34.117.33.233","192.168.68.57",,,"443","55569"
"1772865971.801631000","82","192.168.68.57","34.117.33.233",,,"55569","443"
"1772865971.869778000","54","34.117.33.233","192.168.68.57",,,"443","55569"
"1772865971.985713000","60",,,,,,
"1772865972.234187000","60",,,,,,
"1772865972.469179000","60",,,,,,
"1772865972.484138000","60",,,,,,
"1772865972.525697000","78","104.18.35.46","192.168.68.57",,,"443","31182"
"1772865972.526057000","82","192.168.68.57","104.18.35.46",,,"31182","443"
"1772865972.586793000","54","104.18.35.46","192.168.68.57",,,"443","31182"
"1772865972.598936000","164","192.168.68.57","192.168.68.54",,,"40775","8009"
"1772865972.608351000","164","192.168.68.54","192.168.68.57",,,"8009","40775"
"1772865972.649094000","54","192.168.68.57","192.168.68.54",,,"40775","8009"
"1772865972.734205000","60",,,,,,
"1772865972.746414000","164","192.168.68.57","192.168.1.185",,,"52118","8009"
"1772865972.746617000","164","192.168.68.57","192.168.1.15",,,"45754","8009"
"1772865972.752812000","164","192.168.1.185","192.168.68.57",,,"8009","52118"
"1772865972.752813000","164","192.168.1.15","192.168.68.57",,,"8009","45754"
"1772865972.799723000","54","192.168.68.57","192.168.1.185",,,"52118","8009"
"1772865972.799911000","54","192.168.68.57","192.168.1.15",,,"45754","8009"
"1772865972.844145000","55","192.168.68.57","135.234.174.40",,,"12407","443"
"1772865972.922800000","66","135.234.174.40","192.168.68.57",,,"443","12407"
"1772865973.051610000","221","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865973.052506000","225","192.168.68.57","104.18.35.46",,,"59460","443"
"1772865973.114222000","54","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865973.186347000","224","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865973.187273000","228","192.168.68.57","104.18.35.46",,,"10822","443"
