frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769403425.869010400","537","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.869010400","64","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.869433000","77","192.168.0.30","142.250.64.227","61819","443",,
"1769403425.875035800","400","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.875035800","64","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.875394800","77","192.168.0.30","142.250.64.227","61819","443",,
"1769403425.878967300","128","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.878967300","64","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.879294800","77","192.168.0.30","142.250.64.227","61819","443",,
"1769403425.902376800","162","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.908718700","687","192.168.0.30","20.40.206.232",,,"53052","443"
"1769403425.909496700","60","8.8.8.8","192.168.0.30",,,"53","49669"
"1769403425.909496700","60","8.8.8.8","192.168.0.30",,,"53","49669"
"1769403425.910111400","60","8.8.8.8","192.168.0.30",,,"53","65520"
"1769403425.910111400","60","8.8.8.8","192.168.0.30",,,"53","65520"
"1769403425.921587600","105","8.8.8.8","192.168.0.30",,,"53","49669"
"1769403425.921587600","139","8.8.8.8","192.168.0.30",,,"53","65520"
"1769403425.921868100","54","192.168.0.30","8.8.8.8",,,"65520","53"
"1769403425.922306600","54","192.168.0.30","8.8.8.8",,,"49669","53"
"1769403425.922857800","1292","192.168.0.30","192.178.50.78","61616","443",,
"1769403425.922912800","1292","192.168.0.30","192.178.50.78","61616","443",,
"1769403425.923111200","123","192.168.0.30","192.178.50.78","61616","443",,
"1769403425.923563100","65","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.939345400","74","192.168.0.30","142.250.64.227","61819","443",,
"1769403425.939737500","65","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.970775300","66","142.250.64.227","192.168.0.30","443","61819",,
"1769403425.986859100","60","8.8.8.8","192.168.0.30",,,"53","65520"
"1769403425.986859100","82","192.178.50.78","192.168.0.30","443","61616",,
"1769403425.986859100","1292","192.178.50.78","192.168.0.30","443","61616",,
